ROI_name,value,ROI
l_Entorhinal.Cortex,left_entorhinal_cortex_left,l.Ent
l_Entorhinal.Cortex,left_entorhinal_cortex_left,l.Ent
l_Entorhinal.Cortex,left_lateral_entorhinal_cortex_left,l.Ent
l_Entorhinal.Cortex,left_lateral_entorhinal_cortex_left,l.Ent
l_Entorhinal.Cortex,left_lateral_entorhinal_cortex_external_part_left,l.Ent
l_Entorhinal.Cortex,left_lateral_entorhinal_cortex_external_part_left,l.Ent
l_Hippocampus,left_cornu_ammonis_1_left,l.Hipp
l_Hippocampus,left_cornu_ammonis_2_left,l.Hipp
l_Hippocampus,left_cornu_ammonis_3_left,l.Hipp
l_Hippocampus,left_dentate_gyrus_left,l.Hipp
l_Insular.Cortex,left_agranular_dysgranular_insular_cortex_left,l.Ins
l_Insular.Cortex,left_agranular_insular_cortex_left,l.Ins
l_Insular.Cortex,left_dysgranular_insular_cortex_left,l.Ins
l_Perirhinal.Area,left_perirhinal_area_35_left,l.Per
l_Perirhinal.Area,left_perirhinal_area_36_left,l.Per
l_Retrosplenial.Cortex,left_retosplenial_dysgranular_cortex_left,l.Ret
l_Retrosplenial.Cortex,left_retrosplenial_granular_cortex_part_a_left,l.Ret
l_Retrosplenial.Cortex,left_retrosplenial_granular_cortex_part_b_left,l.Ret
l_Subiculum,left_presubiculum_left,l.sHipp
l_Subiculum,left_subiculum_left,l.sHipp
r_Entorhinal.Cortex,right_entorhinal_cortex,r.Ent
r_Entorhinal.Cortex,right_entorhinal_cortex,r.Ent
r_Entorhinal.Cortex,right_lateral_entorhinal_cortex,r.Ent
r_Entorhinal.Cortex,right_lateral_entorhinal_cortex,r.Ent
r_Entorhinal.Cortex,right_lateral_entorhinal_cortex_external_part,r.Ent
r_Entorhinal.Cortex,right_lateral_entorhinal_cortex_external_part,r.Ent
r_Hippocampus,right_cornu_ammonis_1,r.Hipp
r_Hippocampus,right_cornu_ammonis_2,r.Hipp
r_Hippocampus,right_cornu_ammonis_3,r.Hipp
r_Hippocampus,right_dentate_gyrus,r.Hipp
r_Insular.Cortex,right_agranular_dysgranular_insular_cortex,r.Ins
r_Insular.Cortex,right_agranular_insular_cortex,r.Ins
r_Insular.Cortex,right_dysgranular_insular_cortex,r.Ins
r_Perirhinal.Area,right_perirhinal_area_35,r.Per
r_Perirhinal.Area,right_perirhinal_area_36,r.Per
r_Retrosplenial.Cortex,right_retosplenial_dysgranular_cortex,r.Ret
r_Retrosplenial.Cortex,right_retrosplenial_granular_cortex_part_a,r.Ret
r_Retrosplenial.Cortex,right_retrosplenial_granular_cortex_part_b,r.Ret
r_Subiculum,right_presubiculum,r.sHipp
r_Subiculum,right_subiculum,r.sHipp
