ROI,ROI_name
l.Ins,l_Insular.Cortex
r.Ins,r_Insular.Cortex
l.Amy,l_Amygdal.Area
r.Amy,r_Amygdal.Area
l.BNST,l_Bed.Nucleus.of.the.Stria.Terminalis
r.BNST,r_Bed.Nucleus.of.the.Stria.Terminalis
l.Hipp,l_Hippocampus
r.Hipp,r_Hippocampus
l.Orb,l_Orbitofrontal.cortex
r.Orb,r_Orbitofrontal.cortex
l.Ent,l_Entorhinal.Cortex
r.Ent,r_Entorhinal.Cortex
l.FrA,l_Frontal.Association.Cortex
r.FrA,r_Frontal.Association.Cortex
l.GP,l_Globus.Pallidus
r.GP,r_Globus.Pallidus
l.gaOB,l_Glomerular.Layer.of.the.Accessory.Olfactory.Bulb
r.gaOB,r_Glomerular.Layer.of.the.Accessory.Olfactory.Bulb
l.glOB,l_Glomerular.Layer.of.the.Olfactory.Bulb
r.gOB,r_Glomerular.Layer.of.the.Olfactory.Bulb
l.gCer,l_Granule.Cell.Level.of.the.Cerebellum
r.gCer,r_Granule.Cell.Level.of.the.Cerebellum
l.Hyp,l_Hypothalamic.Region
r.Hyp,r_Hypothalamic.Region
l.Ent,l_Entorhinal.Cortex
r.Ent,r_Entorhinal.Cortex
l.vCer,l_Vermix.Molecular.Layer.of.the.Cerebellum
r.vCer,r_Vermix.Molecular.Layer.of.the.Cerebellum
l.lCer,l_Lateral.Molecular.Layer.of.the.Cerebellum
r.lCer,r_Lateral.Molecular.Layer.of.the.Cerebellum
l.aOB,l_Anterior.Olfactory.Bulb
r.aOB,r_Anterior.Olfactory.Bulb
l.pOB,l_Posterior.Olfactory.Bulb
r.pOB,r_Posterior.Olfactory.Bulb
l.sHipp,l_Subiculum
r.sHipp,r_Subiculum
l.Per,l_Perirhinal.Area
r.Per,r_Perirhinal.Area
l.PL,l_PreLimbic.System
r.PL,r_PreLimbic.System
l.Cg1,l_Primary.Cingular.Cortex
r.Cg1,r_Primary.Cingular.Cortex
l.M1,l_Primary.Motor.Cortex
r.M1,r_Primary.Motor.Cortex
l.Ret,l_Retrosplenial.Cortex
r.Ret,r_Retrosplenial.Cortex
l.Cg2,l_Secondary.Cingular.Cortex
r.Cg2,r_Secondary.Cingular.Cortex
l.M2,l_Secondary.Motor.Cortex
r.M2,r_Secondary.Motor.Cortex
l.Cpu,l_Striatum
r.Cpu,r_Striatum
l.VTA,l_Ventral.Tegmental.Area
r.VTA,r_Ventral.Tegmental.Area
l.SN,l_Substantia.Nigra
r.SN,r_Substantia.Nigra
l.Thal,l_Thalamus
r.Thal,r_Thalamus
